"","schedule_playoff","win_loss","home_fav","schedule_season","schedule_week","spread_favorite","over_under_line","weather_wind_mph","fav_elo_diff","team_favorite_id"
"72",FALSE,"fav","home_fav",1985,5,-3.5,46.5,11,41.7704375000001,"GB"
"73",FALSE,"fav","home_fav",1985,9,-3.5,43,0,-20.4809999999998,"MIN"
"74",FALSE,"fav","home_fav",1985,10,-9.5,39.5,18,237.341958333333,"CHI"
"75",FALSE,"fav","home_fav",1985,1,-4,45,10,71.8179627525253,"NE"
"76",FALSE,"fav","home_fav",1985,7,-10,44,10,195.571520833333,"CHI"
"77",FALSE,"underdog","home_fav",1985,10,-5.5,41.5,0,-62.2514374999998,"MIN"
"78",FALSE,"underdog","home_underdog",1985,8,-2,42,0,121.7413125,"GB"
"79",FALSE,"underdog","home_fav",1985,15,-6,46.5,0,-41.7704375000001,"DET"
"80",FALSE,"fav","home_underdog",1985,16,-2.5,44,8,148.792,"GB"
"81",FALSE,"fav","home_fav",1985,12,-6,39,11,98.4189930555556,"LAR"
"82",FALSE,"fav","home_fav",1985,4,-7.5,48,13,-11.969625,"ARI"
"83",FALSE,"underdog","home_underdog",1985,7,0,40,8,52.8630624999998,"PICK"
"84",FALSE,"fav","home_fav",1985,10,-9.5,39.5,18,193.559275252525,"NE"
"85",FALSE,"fav","home_fav",1985,2,-17,45,23,271.698375,"MIA"
"86",FALSE,"fav","home_fav",1985,14,-19.5,42,8,317.312833333333,"CHI"
"87",FALSE,"underdog","home_fav",1985,15,-3.5,44,10,-27.0506874999999,"TB"
"88",FALSE,"fav","home_fav",1985,4,-10,39,8,169.775638888889,"NYJ"
"89",FALSE,"fav","home_fav",1985,12,-4,41,14,145.5915625,"KC"
"90",FALSE,"fav","home_fav",1985,1,-10,40.5,9,146.04675,"PIT"
"91",FALSE,"fav","home_fav",1985,13,-8,40.5,0,66.1634374999999,"SEA"
"92",FALSE,"fav","home_fav",1985,11,-13,42.5,18,155.627729166667,"SF"
"93",FALSE,"fav","home_fav",1985,5,-3,41.5,14,97.8097361111111,"OAK"
"94",FALSE,"underdog","home_underdog",1985,6,-3.5,46,7,19.5971875,"KC"
"95",FALSE,"fav","home_fav",1985,9,-1,39,0,-154.0951875,"TEN"
"96",FALSE,"fav","home_underdog",1985,1,0,43,0,89.0515625,"PICK"
"97",FALSE,"fav","home_fav",1985,3,-4,45,9,126.1068125,"MIA"
"98",FALSE,"fav","home_fav",1985,15,-10.5,43,10,89.0385000000001,"DEN"
"99",FALSE,"fav","home_fav",1985,7,-3.5,49.5,0,-66.5045,"MIN"
"100",FALSE,"fav","home_fav",1985,8,-6.5,48,9,117.406923611111,"OAK"
"101",FALSE,"underdog","home_fav",1985,3,-4.5,50,9,-9.78568749999999,"CIN"
"102",FALSE,"underdog","home_underdog",1985,12,-6,45,0,134.498,"LAC"
"103",FALSE,"fav","home_fav",1985,5,-12,46.5,0,85.7606249999999,"SEA"
"104",FALSE,"fav","home_fav",1985,16,-2,46,17,19.5971875,"KC"
"105",FALSE,"fav","home_underdog",1985,1,-5,46,11,178.8574375,"LAC"
"106",FALSE,"fav","home_fav",1985,11,-4,47.5,7,108.6356875,"DEN"
"107",FALSE,"fav","home_underdog",1985,6,-6.5,39,6,247.210993055555,"LAR"
"108",FALSE,"fav","home_underdog",1985,2,-5,37,8,123.766743055555,"LAR"
"109",TRUE,"fav","home_fav",1985,20,-10.5,46,12,97.1525277777778,"CHI"
"110",FALSE,"underdog","home_fav",1985,14,-9,40,11,81.0589861111112,"SF"
"111",FALSE,"underdog","home_underdog",1985,11,-6,40.5,7,226.051930555555,"LAR"
"112",FALSE,"fav","home_underdog",1985,7,0,41,5,74.5687430555554,"PICK"
"113",FALSE,"fav","home_fav",1985,10,-4.5,38.5,18,-9.26522222222206,"NYG"
"114",FALSE,"underdog","home_fav",1985,3,-6.5,44,0,-8.40530555555551,"SEA"
"115",FALSE,"underdog","home_underdog",1985,13,-5.5,40,0,163.620305555555,"LAR"
"116",FALSE,"underdog","home_underdog",1985,1,-7.5,45.5,0,280.202,"MIA"
"117",FALSE,"underdog","home_underdog",1985,8,-6.5,47,0,191.7275,"MIA"
"118",FALSE,"fav","home_underdog",1985,4,-1,47,6,37.0683124999998,"MIA"
"119",FALSE,"fav","home_underdog",1985,11,-7.5,47,0,271.698375,"MIA"
"120",FALSE,"fav","home_underdog",1985,14,-4,43,5,149.9570625,"MIA"
"121",FALSE,"underdog","home_underdog",1985,6,-4,48,9,101.922736111111,"MIA"
"122",FALSE,"fav","home_underdog",1985,12,-8.5,41.5,17,324.5614375,"MIA"
"123",FALSE,"underdog","home_underdog",1985,9,0,46.5,17,78.1390997474748,"PICK"
"124",FALSE,"underdog","home_fav",1985,2,-3,45,15,-86.5405625000001,"TB"
"125",FALSE,"fav","home_underdog",1985,4,-3,41,9,112.3529375,"MIN"
"126",FALSE,"underdog","home_fav",1985,13,-6.5,37.5,15,36.9036874999999,"PHI"
"127",FALSE,"fav","home_fav",1985,11,-3,38.5,0,20.4809999999998,"DET"
"128",FALSE,"fav","home_fav",1985,5,-6.5,41,14,160.670430555555,"LAR"
"129",FALSE,"fav","home_fav",1985,8,-7.5,43,11,257.822958333333,"CHI"
"130",FALSE,"underdog","home_underdog",1985,15,-2,46,10,65.3815,"MIN"
"131",FALSE,"fav","home_fav",1985,6,-3.5,48,10,62.2514374999998,"GB"
"132",FALSE,"fav","home_underdog",1985,8,-2,46.5,11,220.609962752525,"NE"
"133",FALSE,"fav","home_fav",1985,5,-3.5,37,14,-67.9452058080808,"CLE"
"134",TRUE,"fav","home_fav",1985,21,-10,37.5,0,123.753558080808,"CHI"
"135",FALSE,"underdog","home_fav",1985,11,-3.5,41,0,18.1957247474747,"SEA"
"136",FALSE,"fav","home_fav",1985,2,-4.5,44,5,123.753558080808,"CHI"
"137",TRUE,"underdog","home_fav",1985,18,-3,37,5,-23.7836363636361,"NYJ"
"138",FALSE,"fav","home_underdog",1985,3,-6.5,42,7,246.422337752525,"NE"
"139",TRUE,"underdog","home_fav",1985,20,-5.5,39,0,78.1390997474748,"MIA"
"140",FALSE,"fav","home_fav",1985,15,-5,44,8,78.1390997474748,"MIA"
"141",TRUE,"underdog","home_fav",1985,19,-5.5,36,11,49.8420233585859,"OAK"
"142",FALSE,"fav","home_underdog",1985,13,-7,39,0,193.559275252525,"NE"
"143",FALSE,"fav","home_fav",1985,12,-3.5,39,16,-23.7836363636361,"NYJ"
"144",FALSE,"underdog","home_underdog",1985,7,0,45,6,62.4316249999999,"PICK"
"145",FALSE,"underdog","home_fav",1985,12,-7,42,0,2.94987500000002,"MIN"
"146",FALSE,"fav","home_fav",1985,6,-9,40,8,186.861298611111,"OAK"
"147",FALSE,"fav","home_fav",1985,2,-10,40,12,178.0900625,"DEN"
